,user_id,user_name,tweet_time,location,text,sentiment
0,2334231240,Debbi Matteucci,Tue Aug 28 19:56:09 +0000 2018,San Francisco CA,please dont loose the influence,negative
1,2593882602,Robert Nash,Tue Aug 28 19:56:10 +0000 2018,Maricopa AZ,agree he was deserving of a purple heart but not worthy of the title military hero which is defined as a person who is a,positive
2,999805424105803777,Dennis@millerd6,Tue Aug 28 19:56:10 +0000 2018,Ramona CA,it easy mccain didnt want there what would want him to dolibtards,positive
3,759123137321693184,Crooked (Crypto) Pictures,Tue Aug 28 19:56:11 +0000 2018,None,shhh youll burst her bubble lol im sure sh,positive
4,43105114,Sandy {}{Q},Tue Aug 28 19:56:12 +0000 2018,Louisiana,it would say hes respecting mccains wisheshe told the world he didnt want trump at his funeral you dam democrats,neutral
5,968025172438634496,Spydercat,Tue Aug 28 19:56:13 +0000 2018,Nancy Pelosi's Fabulous San Franshithole USA.,cat sometimes we get it right sometimes we dont johnmccain got it wrong in death he could have brought pple together exten,negative
6,2766239923,pierce d'art,Tue Aug 28 19:56:14 +0000 2018,out 'n about,cat 2008 johnmccain is mentally unfit to be president 2012 johnmccain is a racist and a woman hater,negative
7,1022622446665588737,@nc0615  MAGA SUPER ELITE,Tue Aug 28 19:56:15 +0000 2018,Austin AR,jkopp i thought specifically did not want president to attend isnt,irrelevant
8,3098633816,Robert M. Goldstein - American,Tue Aug 28 19:56:15 +0000 2018,San Francisco,the best way to honor legacy and apparently his final wish would be for his wife cindy to be name,positive
9,1218485030,Christopher Raiola,Tue Aug 28 19:56:15 +0000 2018,NJ USA,that hes not a phony like you ms brazile,irrelevant
10,119740907, American Patriot  Q ,Tue Aug 28 19:56:15 +0000 2018,None,johnmccain asked him not to attend remember if he attended youd be criticizing him for going against,neutral
11,823688779147968512,Charlene Wooden,Tue Aug 28 19:56:15 +0000 2018,Massachusetts USA,watch powerful words the grief in the country around s death stands as a proxy of what we w,negative
12,761566897955418112,JonAntono ,Tue Aug 28 19:56:15 +0000 2018,Sdost-Wisconsin USA,mb u should water it once in a while,irrelevant
13,574040527,Barbara Castro,Tue Aug 28 19:56:16 +0000 2018,None,cry me a river of those crocodile tears your pretend sniffles and wavering voice while talking about,irrelevant
14,860832549337272321,Mary Jean Pompeo,Tue Aug 28 19:56:18 +0000 2018,None,the best way you can honor your friend is to stand up to as he did show some g,positive
15,4750192146,great grandma#FBR ,Tue Aug 28 19:56:18 +0000 2018,BurlingtonOregon ,very lovely tribute to by do you really want to honor your friend john denounce,positive
16,846120601299255297,CindyjintheOC,Tue Aug 28 19:56:19 +0000 2018,Tustin CA,kelli ward really how utterly stupid do you have to be to believe that ended medical treatment to sp,negative
17,824151785770196993,Elda Bruciaga,Tue Aug 28 19:56:19 +0000 2018,None,under pressure from american legion trump orders flag lowered at white house and other govt buildings until,negative
18,27653517,A human in Phoenix - #Resist,Tue Aug 28 19:56:19 +0000 2018,Phoenix AZ,now cancelling the super bowl visit because the eagles werent gonna come anyway just as the warriors didnt wanna come so h,positive
19,464771557,Ana Ryan,Tue Aug 28 19:56:19 +0000 2018,None,maybe now we dont think it was a big deal but it wa,neutral
20,2774593987,jenhen,Tue Aug 28 19:56:21 +0000 2018,White Rock British Columbia,at reagans funeral thatcher sat next to gorbachevand at johnmccains funeral obama will give a eulogy that is how r,neutral
21,763468725370560513,MacKnowledge,Tue Aug 28 19:56:22 +0000 2018,USA,ive written to calling for the new headquarters to be named after few have given,negative
22,857991937,Joy Wilder,Tue Aug 28 19:56:22 +0000 2018,None,wow justwow,positive
23,71584155,Monica Alba,Tue Aug 28 19:56:23 +0000 2018,Washington DC,the desk of in the senate chamber draped in a black cloth with a vase of white flowers gt,negative
24,948971016633626624,Growler45,Tue Aug 28 19:56:24 +0000 2018,None,mccain publicly asked that he not attend potus is respecting a dying mans last request its about mccain amp family no,neutral
25,31731941,camille park,Tue Aug 28 19:56:24 +0000 2018,None,youre such a disgrace to america hilary,neutral
26,827154482265939968,Heather Millward,Tue Aug 28 19:56:25 +0000 2018,Seattle WA,girl please you were never a democrat nice try becky,positive
27,1049403240,TT,Tue Aug 28 19:56:27 +0000 2018,United States,that your party has gone through great lengths to pay people off to say amp try just about anything to undermine him so,positive
28,3351374110,LuvHaiden4Ever,Tue Aug 28 19:56:28 +0000 2018,None,im old enough to remember when lindseygraham was considered to be johnmccains partner in resisting some of trumps exces,positive
29,1022622446665588737,@nc0615  MAGA SUPER ELITE,Tue Aug 28 19:56:29 +0000 2018,Austin AR,schwartz70 jkopp you can support som,irrelevant
30,100283279,Michael Wilker,Tue Aug 28 19:56:29 +0000 2018,Washington DC,thank you littlejerk would be proud sorry for your loss,positive
31,2892971,Becky Bond ,Tue Aug 28 19:56:29 +0000 2018,San Francisco,after failed even to pander to republicans successfully following the death of he to,negative
32,232968723,mo,Tue Aug 28 19:56:29 +0000 2018,Lost and marching on.,i am laughing at all the angry replies from trump supporters cindy has no experience lol neither did donald trump,positive
33,587451697, Roger Barker ,Tue Aug 28 19:56:32 +0000 2018,Maryland USA,is says that johnmccain was bitter man who never got over losing not once but twice and took it out on a vir,negative
34,768140059497365504,Phillip Fuhrer,Tue Aug 28 19:56:33 +0000 2018,Chicago IL,when received the steele dossier and saw manafort putin and yanukovychs name in the same sentence he imme,neutral
35,2918753498,Dana Jensen,Tue Aug 28 19:56:34 +0000 2018,None,i wasnt going to do this but the media and nevertrump fawning over senator mccain as a way to bash presid,neutral
36,438896314,Taylor Goodspeed,Tue Aug 28 19:56:37 +0000 2018,New York NY,i urge my fellow governors to lower flags in honor of,irrelevant
37,2861558229,Thorsten Rhlemann,Tue Aug 28 19:56:40 +0000 2018,Washington DC,thank you senator john mccain for being a true champion of national service and supporting the expansion of service opport,positive
38,709600530285211648,TapperFactChucksMyMercatusM4A&SharkOpsFish,Tue Aug 28 19:56:43 +0000 2018,None,you should read this up to four paragraphs transcribed only a few dozen pages left to transcribe this things,negative
39,2830424029,Marc Nelson,Tue Aug 28 19:56:43 +0000 2018,None,our flag is at halfstaff honoring a veteran like should be above politics and personal grievance,neutral
40,253859785,Annette Marfia,Tue Aug 28 19:56:44 +0000 2018,None,sincere question how can republican senators stand there and claim to honor johnmccain when theyve been gutless sellouts,positive
41,53726227,SDinChandler,Tue Aug 28 19:56:44 +0000 2018,Chandler AZ,didnt affect my opinion s been a spineless racist for as long as i can remember johnmccain,negative
42,18106259,John Lander,Tue Aug 28 19:56:45 +0000 2018,Kanagawa-ken Japan,kompromat lindsey what felony is it or just necrophilia child porn leather queen,irrelevant
43,1049403240,TT,Tue Aug 28 19:56:45 +0000 2018,United States,what does it say trump is a great judge or character or lack thereof its beyond how drats love songbirdits bec,positive
44,750905187783544832,Brion Adair,Tue Aug 28 19:56:46 +0000 2018,None,whyd this little fokker always look so god damn happy when he was around people killing millions of women and children john,positive
